word	sentence	translation	difficulty_rank	transliteration	source
نگاه کردن	نگاه کردن به دریا مرا آرام می‌کند.	Looking at the sea calms me down.	121	negâh kardan be daryâ marâ ârâm mikonad.	authored
گوش دادن	گوش دادن به موسیقی حالم را بهتر می‌کند.	Listening to music makes me feel better.	122	gush dâdan be musighi hâlam râ behtar mikonad.	authored
سوال کردن	سوال کردن در کلاس اشکالی ندارد.	Asking questions in class is perfectly fine.	123	so'âl kardan dar kelâs eshkâli nadârad.	authored
جواب دادن	جواب دادن به همه ایمیل‌ها وقت می‌برد.	Answering all the emails takes time.	124	javâb dâdan be hame-ye imeyl-hâ vaght mibarad.	authored
کمک کردن	کمک کردن به همسایه کار خوبی است.	Helping a neighbour is a good thing to do.	125	komak kardan be hamsâye kâr-e khubi ast.	authored
منتظر بودن	منتظر بودن در این سرما سخت است.	Waiting in this cold is hard.	126	montazer budan dar in sarmâ sakht ast.	authored
خوابیدن	زود خوابیدن برای سلامتی خوب است.	Going to bed early is good for your health.	127	zud khâbidan barâye salâmati khub ast.	authored
هست	در این خیابان یک داروخانه هست.	There is a pharmacy on this street.	128	dar in khiyâbân yek dârukhâne hast.	authored
نیست	این کتاب مال من نیست.	This book is not mine.	129	in ketâb mâl-e man nist.	authored
بود	دیروز هوا خیلی گرم بود.	Yesterday the weather was very hot.	130	diruz havâ kheyli garm bud.	authored
دارد	این خانه سه اتاق دارد.	This house has three rooms.	131	in khâne se otâgh dârad.	authored
می‌شود	هوا کم‌کم سرد می‌شود.	The weather is gradually getting cold.	132	havâ kam-kam sard mishavad.	authored
می‌کند	سارا این کار را هر روز می‌کند.	Sara does this every day.	133	sârâ in kâr râ har ruz mikonad.	authored
می‌رود	پدرم هر صبح سر کار می‌رود.	My father goes to work every morning.	134	pedaram har sobh sar-e kâr miravad.	authored
می‌آید	مهمان ما فردا صبح می‌آید.	Our guest is coming tomorrow morning.	135	mehmân-e mâ fardâ sobh miâyad.	authored
چیز	روی میز یک چیز عجیب دیدم.	I saw a strange thing on the table.	136	ruye miz yek chiz-e ajib didam.	authored
کار	کار من صبح زود شروع می‌شود.	My work starts early in the morning.	137	kâr-e man sobh-e zud shoru' mishavad.	authored
روز	امروز روز خیلی خوبی بود.	Today was a very good day.	138	emruz ruz-e kheyli khubi bud.	authored
شب	هر شب یک ساعت کتاب می‌خوانم.	Every night I read a book for an hour.	139	har shab yek sâ'at ketâb mikhânam.	authored
سال	سال گذشته به شمال سفر کردیم.	Last year we travelled to the north.	140	sâl-e gozashte be shomâl safar kardim.	authored
ماه	ماه آینده به خانه جدید می‌رویم.	Next month we are moving to a new house.	141	mâh-e âyande be khâne-ye jadid miravim.	authored
هفته	هفته آینده امتحان داریم.	We have an exam next week.	142	hafte-ye âyande emtehân dârim.	authored
ساعت	این کار دو ساعت وقت می‌برد.	This job takes two hours.	143	in kâr do sâ'at vaght mibarad.	authored
وقت	امروز وقت کافی برای ورزش نداشتم.	Today I didn't have enough time for exercise.	144	emruz vaght-e kâfi barâye varzesh nadâshtam.	authored
زمان	زمان امتحان را فراموش کردم.	I forgot the time of the exam.	145	zamân-e emtehân râ farâmush kardam.	authored
آدم	همسایه ما آدم مهربانی است.	Our neighbour is a kind person.	146	hamsâye-ye mâ âdam-e mehrabâni ast.	authored
مرد	یک مرد جوان به من کمک کرد.	A young man helped me.	147	yek mard-e javân be man komak kard.	authored
زن	یک زن مسن کنار من نشست.	An older woman sat down next to me.	148	yek zan-e mosen kenâr-e man neshast.	authored
بچه	این بچه هنوز به مدرسه نمی‌رود.	This child doesn't go to school yet.	149	in bachche hanuz be madrese nemiravad.	authored
پسر	پسر همسایه ما دانشجوی پزشکی است.	Our neighbour's son is a medical student.	150	pesar-e hamsâye-ye mâ dâneshjuy-e pezeshki ast.	authored
دختر	دختر همسایه خیلی مهربان است.	The neighbour's daughter is very kind.	151	dokhtar-e hamsâye kheyli mehrabân ast.	authored
دوست	دوست من فردا به دیدن ما می‌آید.	My friend is coming to see us tomorrow.	152	dust-e man fardâ be didan-e mâ miâyad.	authored
خانواده	امروز تمام خانواده کنار هم هستند.	Today the whole family is together.	153	emruz tamâm-e khânevâde kenâr-e ham hastand.	authored
مادر	مادر من در آشپزخانه است.	My mother is in the kitchen.	154	mâdar-e man dar âshpazkhâne ast.	authored
پدر	پدر من هر روز روزنامه می‌خواند.	My father reads the newspaper every day.	155	pedar-e man har ruz ruznâme mikhânad.	authored
برادر	برادر من در تهران کار می‌کند.	My brother works in Tehran.	156	barâdar-e man dar Tehrân kâr mikonad.	authored
خواهر	خواهر بزرگ من پزشک است.	My older sister is a doctor.	157	khâhar-e bozorg-e man pezeshk ast.	authored
خانه	ما دیشب دیر به خانه رسیدیم.	We got home late last night.	158	mâ dishab dir be khâne residim.	authored
شهر	ما تابستان گذشته این شهر را دیدیم.	We saw this city last summer.	159	mâ tâbestân-e gozashte in shahr râ didim.	authored
کشور	ما در یک کشور کوچک زندگی می‌کنیم.	We live in a small country.	160	mâ dar yek keshvar-e kuchak zendegi mikonim.	authored
جهان	من دوست دارم جهان را ببینم.	I would like to see the world.	161	man dust dâram jahân râ bebinam.	authored
دنیا	این روزها دنیا خیلی سریع عوض می‌شود.	These days the world changes very fast.	162	in ruz-hâ donyâ kheyli sari' avaz mishavad.	authored
راه	این راه به بازار می‌رسد.	This road leads to the market.	163	in râh be bâzâr miresad.	authored
خیابان	بچه‌ها در خیابان بازی می‌کنند.	The children are playing in the street.	164	bachche-hâ dar khiyâbân bâzi mikonand.	authored
ماشین	ماشین من دیروز خراب شد.	My car broke down yesterday.	165	mâshin-e man diruz kharâb shod.	authored
آب	من یک لیوان آب می‌خواهم.	I want a glass of water.	166	man yek livân âb mikhâham.	authored
غذا	امشب غذا خیلی خوشمزه بود.	The food was very tasty tonight.	167	emshab ghazâ kheyli khoshmaze bud.	authored
نان	من صبح‌ها نان و پنیر می‌خورم.	I eat bread and cheese in the mornings.	168	man sobh-hâ nân o panir mikhoram.	authored
پول	امروز پول همراه من نیست.	I don't have any money on me today.	169	emruz pul hamrâh-e man nist.	authored
دست	دست راست من درد می‌کند.	My right hand hurts.	170	dast-e râst-e man dard mikonad.	authored
سر	بچه سر خود را تکان داد.	The child shook his head.	171	bachche sar-e khod râ tekân dâd.	authored
چشم	چشم چپ من کمی درد دارد.	My left eye hurts a little.	172	cheshm-e chap-e man kami dard dârad.	authored
دل	دل من برای دوستانم تنگ شده است.	I miss my friends.	173	del-e man barâye dustânam tang shode ast.	authored
اسم	ببخشید، اسم شما چیست؟	Excuse me, what is your name?	174	bebakhshid, esm-e shomâ chist?	authored
کتاب	این کتاب را دیروز خریدم.	I bought this book yesterday.	175	in ketâb râ diruz kharidam.	authored
مدرسه	دانش‌آموزان با اتوبوس به مدرسه می‌روند.	The pupils go to school by bus.	176	dânesh-âmuzân bâ otobus be madrese miravand.	authored
دانشگاه	من هفته آینده به دانشگاه می‌روم.	I am going to the university next week.	177	man hafte-ye âyande be dâneshgâh miravam.	authored
زبان	من می‌خواهم یک زبان تازه یاد بگیرم.	I want to learn a new language.	178	man mikhâham yek zabân-e tâze yâd begiram.	authored
حرف	من حرف شما را باور می‌کنم.	I believe what you say.	179	man harf-e shomâ râ bâvar mikonam.	authored
دو	دو فنجان چای سفارش دادیم.	We ordered two cups of tea.	180	do fenjân chây sefâresh dâdim.	authored
سه	ما سه روز در شمال ماندیم.	We stayed three days in the north.	181	mâ se ruz dar shomâl mândim.	authored
چهار	این میز چهار صندلی دارد.	This table has four chairs.	182	in miz chahâr sandali dârad.	authored
پنج	قطار پنج دقیقه دیگر می‌رسد.	The train arrives in five minutes.	183	ghatâr panj daghighe digar miresad.	authored
شش	من شش ساعت خوابیدم.	I slept for six hours.	184	man shesh sâat khâbidam.	authored
هفت	ساعت هفت صبح بیدار می‌شوم.	I wake up at seven in the morning.	185	sâat-e haft-e sobh bidâr mishavam.	authored
هشت	کلاس ما ساعت هشت شروع می‌شود.	Our class starts at eight o'clock.	186	kelâs-e mâ sâat-e hasht shoru mishavad.	authored
ده	ده دقیقه دیگر می‌آیم.	I'll be there in ten minutes.	187	dah daghighe digar miâyam.	authored
بیست	بیست نفر در جلسه بودند.	Twenty people were at the meeting.	188	bist nafar dar jalase budand.	authored
سی	این ماه سی روز دارد.	This month has thirty days.	189	in mâh si ruz dârad.	authored
صد	این کتاب صد صفحه دارد.	This book has a hundred pages.	190	in ketâb sad safhe dârad.	authored
هزار	من هزار بار به شما گفتم.	I've told you a thousand times.	191	man hezâr bâr be shomâ goftam.	authored
میلیون	این فیلم را دو میلیون نفر دیدند.	Two million people saw this film.	192	in film râ do milyun nafar didand.	authored
اول	ما در ردیف اول نشستیم.	We sat in the first row.	193	mâ dar radif-e avval neshastim.	authored
دوم	خانه ما در طبقه دوم است.	Our home is on the second floor.	194	khâne-ye mâ dar tabaghe-ye dovvom ast.	authored
سوم	امروز روز سوم سفر ما است.	Today is the third day of our trip.	195	emruz ruz-e sevvom-e safar-e mâ ast.	authored
آخر	روز آخر تعطیلات باران آمد.	It rained on the last day of the holiday.	196	ruz-e âkhar-e tatilât bârân âmad.	authored
نصف	من نصف غذا را خوردم.	I ate half the food.	197	man nesf-e ghazâ râ khordam.	authored
عدد	این عدد را روی کاغذ بنویسید.	Write this number down on the paper.	198	in adad râ ruy-e kâghaz benevisid.	authored
رنگ	رنگ این پیراهن را دوست دارم.	I like the colour of this shirt.	199	rang-e in pirâhan râ dust dâram.	authored
قرمز	سیب‌های این درخت قرمز هستند.	The apples on this tree are red.	200	sib-hâ-ye in derakht ghermez hastand.	authored
