rank	word	pos	en
67	s-a	contraction	contraction of se and a
68	despre	prep	about
69	vrei	verb	second-person singular present indicative/subjunctive
70	sau	conj	or
71	tot	adv	still; nevertheless, still, anyway
72	foarte	adv	very
73	pare	verb	third-person singular present indicative of părea (“to seem”)
74	acolo	adv	there
75	chiar	adv	even; just
76	noi	pron	we
77	bună	adj	nominative/accusative feminine singular of bun
78	ta	det	feminine singular of tău (“your”)
79	era	verb	third-person singular imperfect indicative of fi: he/she was (being)
80	nimic	adv	synonym of deloc (“not at all”)
81	faci	verb	second-person singular present indicative/subjunctive of face
82	are	verb	third-person singular indicative present of avea (“to have”)
83	făcut	adj	done; made
84	cine	pron	who
85	nici	adv	not even
86	putea	verb	to be able to; can, could, may
87	fac	verb	first-person singular present indicative/subjunctive of face
88	fie	verb	third-person singular/plural subjunctive of fi (“to be”)
89	nevoie	noun	need, necessity
90	trebui	verb	to be necessary, to need to, to have to
91	rău	adj	bad; wrong
92	atunci	adv	then (at that time), next
93	timp	noun	time; weather
94	tău	det	your (singular)
95	spun	verb	first-person singular present indicative/subjunctive of spune
96	și	conj	and; Connects the nonzero digit in the ones place to the rest of a number greater than 20
97	rog	verb	first-person singular present indicative/subjunctive of ruga
98	acest	det	this
99	nu-i	contraction	contraction of nu + e, literally “is not”: isn't
100	spune	verb	to say; to tell
101	avem	verb	first-person plural present indicative of avea
102	al	article	of (masculine/neuter singular possessive or genitive article)
103	le	pron	to them (all-male or mixed group)
104	după	prep	behind; after
105	vom	verb	will
106	deci	conj	so, therefore
107	îl	pron	him
108	prea	adv	too (to an excessive degree)
109	să-l	contraction	contraction of să + îl
110	cineva	pron	someone, somebody
111	oh	intj	ugh, tsk, sigh
112	toate	det	nominative/accusative feminine plural of tot
113	ani	noun	plural of an
114	cel	det	that
115	suntem	verb	first-person plural present indicative of fi: we are
116	vei	verb	will
117	bun	adj	good
118	sigur	adj	sure, certain to be true
119	as	noun	ace
120	vor	verb	third-person plural present indicative of vrea
121	vrea	verb	to want; Used to form other tenses.
122	mare	adj	big, large, great
123	îi	pron	to him
124	iar	adv	again; also
125	până	adv	Optionally preceding și (“even”, adverb) for emphasis or clarification.
126	cât	pron	how much
127	haide	intj	come on, c'mon; let's ...
128	crezi	verb	second-person singular present indicative/subjunctive of crede
129	încă	adv	still, yet; one more
130	hei	intj	hey
131	stai	verb	second-person singular present indicative/subjunctive
132	atât	adv	so (to this or that extent), so much
133	totul	noun	definite nominative/accusative singular of tot
134	avea	verb	to have; to stand
135	venit	verb	past participle of veni
136	spui	verb	second-person singular present indicative/subjunctive of spune
137	ăsta	det	this
138	avut	verb	past participle of avea
139	m-am	contraction	contraction of mă (“me”, first person singular accusative or reflexive pronoun) + am (“have”, first person singular auxiliary verb forming the compund perfect)
140	lucru	noun	thing; object; work, problem, action
141	văzut	noun	seeing
142	fata	noun	definite nominative/accusative singular of fată
143	fel	noun	sort, type, kind
144	să-i	contraction	contraction of să + îi
145	putem	verb	first-person plural present indicative of putea
146	ceea	pron	that (relative pronoun)
147	n-am	contraction	contraction of nu + am
148	să-mi	contraction	contraction of să + îmi
149	fără	prep	without; free
150	mama	noun	definite nominative/accusative singular of mamă
151	place	verb	inflection of plăcea
152	decât	adv	than; only, nothing but
153	domnule	noun	vocative singular of domn
154	niciodată	adv	never
155	regulă	noun	rule; norm
156	mi-a	contraction	contraction of îmi + a
157	prin	prep	through; by, by means of
158	s-o	contraction	contraction of să + o
159	înainte	adv	before; in front, forward, onward
160	văd	verb	first-person singular present indicative/subjunctive
161	mergem	verb	first-person plural present indicative/subjunctive of merge
162	unul	pron	one
163	uite	verb	third-person singular/plural present subjunctive of uita
164	hai	intj	let's
165	loc	noun	place, location
166	nimeni	pron	no one, nobody
167	toată	det	nominative/accusative feminine singular of tot
168	apoi	adv	subsequently, afterwards, next, then
169	vezi	verb	second-person singular present indicative of vedea
170	dat	adj	given
171	întâmplat	verb	past participle of întâmpla
172	fii	noun	plural of fiu: sons
173	l-am	contraction	contraction of îl and am
174	naiba	noun	devil, deuce
175	nou	adj	new
176	oameni	noun	plural of om; people
177	ia	noun	AI (artificial intelligence)
178	facem	verb	first-person plural present indicative/subjunctive of face
179	zi	noun	day
180	acasă	adv	at home (as a location)
181	multe	adj	feminine plural of mult (“many”)
182	jos	adv	down
183	lumea	noun	definite nominative/accusative singular of lume
184	două	num	two
185	peste	prep	over
186	exista	verb	to exist
187	timpul	noun	definite nominative/accusative singular of timp
188	această	det	nominative feminine singular of acest: this
189	orice	det	any
190	oamenii	noun	definite nominative/accusative plural of om
191	auzit	verb	past participle of auzi
192	doi	num	two
193	luat	noun	taking
194	fiecare	det	every, each
195	vrut	verb	past participle of vrea
196	înapoi	adv	back; backwards
197	astea	det	nominative/accusative feminine/neuter plural of ăsta
198	într-o	contraction	contraction of în + o: in a; into a
199	aia	det	nominative/accusative feminine singular of ăla
200	fiu	noun	son
201	dintre	prep	among
202	merge	verb	to walk; to move
203	lor	pron	their
204	trei	num	three
205	numele	noun	definite nominative singular of nume: the name
206	om	noun	man (male); human
207	cea	det	feminine singular of cel: the (one that is)
208	găsit	noun	finding
209	cei	noun	electronic identity card
210	doamne	noun	vocative of Domn
211	i	conj	and
212	mele	pron	feminine/neuter plural
213	te-ai	contraction	contraction of te + ai
214	aceasta	det	nominative/accusative feminine singular of acesta
215	du-te	contraction	contraction of du + te
216	deja	adv	already, yet
217	ziua	adv	during the daytime
218	duc	verb	first-person singular present indicative/subjunctive
219	dată	noun	an instance, occasion, time
220	parte	noun	part; side
221	i-am	contraction	contraction of îi + am
222	vino	verb	second-person singular imperative of veni
223	destul	adv	enough, plenty, sufficient
224	câteva	det	nominative/accusative feminine/neuter plural of câtva
225	serios	adj	serious, earnest
226	gata	adj	ready, willing; done
227	bani	noun	plural of ban (money)
228	vorbesc	verb	first-person singular present indicative of vorbi: I speak
229	tatăl	noun	definite nominative/accusative singular of tată
230	aproape	adv	near, close, nearby
231	vedem	verb	first-person plural present indicative of vedea
232	afară	adv	outside
233	dau	verb	first-person singular present indicative/subjunctive
234	numai	adv	only (no more than)
235	nostru	det	our
236	adevărat	adj	true (that which yields a truth)
237	noastră	det	feminine singular of nostru; our
238	într-un	contraction	contraction of în + un: in a; into a
239	una	num	feminine of unu: one
240	vin	noun	wine
241	m-a	contraction	contraction of mă + a
242	eram	verb	first-person singular/plural imperfect indicative of fi (“be”): I was; we were
243	acesta	det	this
244	locul	noun	definite nominative/accusative singular of loc
245	scuze	verb	third-person singular/plural subjunctive of scuza
246	vine	noun	plural of vână
247	repede	adj	fast, quick, rapid
248	zis	verb	past participle of zice
249	fapt	noun	fact; deed, event
250	ori	conj	or; either
251	te-am	contraction	contraction of te + am
252	n-o	contraction	contraction of nu + o
253	putut	verb	past participle of putea able to
254	grijă	noun	worry; care (looking out for something)
255	tale	pron	feminine plural of tău
256	lucruri	noun	plural of lucru
257	casa	noun	definite nominative/accusative singular of casă
258	singur	adj	single, only, sole
259	prima	verb	to prevail, to take precedent
260	probabil	adj	likely, probable (likely)
261	ajuns	verb	past participle of ajunge
262	cam	adv	approximately, a little
263	simt	verb	first-person singular present indicative/subjunctive
264	exact	adj	exact, precise
265	l-a	contraction	contraction of îl and a
266	dreptate	noun	righteousness, fairness, justice
267	tocmai	adv	just, precisely, exactly
268	noapte	noun	night
269	cele	det	feminine plural of cel (nominative and accusative)
270	târziu	adj	late
271	trecut	noun	past
272	zile	noun	plural of zi
273	facă	verb	third-person singular/plural present subjunctive of face
274	mereu	adv	always, ever, continuously, constantly
275	ajuta	verb	to help
276	adică	adv	videlicet, viz., that is to say, in other words
277	partea	noun	definite nominative/accusative singular of parte
278	seara	adv	in the evening; every evening
279	lucrurile	noun	definite nominative/accusative plural of lucru
280	iau	verb	first-person singular present indicative/subjunctive
281	unui	article	of a; to a
282	împreună	adv	together
283	plecat	noun	gone, left
284	crezut	verb	past participle of crede (“believed”)
285	omule	noun	vocative singular of om
286	imediat	adv	immediately
287	ne-am	contraction	contraction of ne + am
288	spre	prep	to, towards (spatially)
289	azi	adv	today
290	departe	adv	far (distant in space or degree)
291	aceste	det	nominative feminine plural of acest (“these”)
292	terminat	adj	finished
293	început	noun	beginning, start
294	trebuia	verb	imperfect indicative of trebui; it was necessary
295	iubesc	verb	first-person singular present indicative of iubi: I love
296	m-ai	contraction	contraction of mă + ai
297	măcar	adv	even; at least
298	pierdut	adj	lost; pale, faded
299	sub	prep	under, below, beneath, underneath
300	copii	noun	indefinite nominative/accusative/genitive/dative plural of copil
301	frumos	adj	beautiful; handsome
302	banii	noun	definite nominative/accusative plural of ban
303	mâine	adv	tomorrow
304	n-ai	contraction	contraction of nu + ai
305	asculta	verb	to listen; to listen to someone (do what one says)
306	mi-am	contraction	contraction of îmi + am
307	mamă	noun	mum, mom, mother
308	mi	noun	mi, the note 'E'.
309	treaba	noun	definite nominative/accusative singular of treabă
310	mei	det	masculine plural of meu
311	l-ai	contraction	contraction of îl + ai
312	tată	noun	father
313	plec	verb	first-person singular present indicative/subjunctive of pleca
314	sus	adv	up
315	păi	intj	well; why (interjection of mild surprise)
316	s-ar	contraction	contraction of se + ar
317	vorba	noun	definite nominative/accusative singular of vorbă
318	ăla	det	that
319	greu	adj	heavy; hard, difficult
320	vedea	verb	to see; to watch out, to take care (to)
321	mi-ai	contraction	contraction of îmi + ai
322	dumnezeu	noun	alternative letter-case form of Dumnezeu
323	tipul	noun	definite nominative/accusative singular of tip
324	desigur	adv	of course; certainly
325	drumul	noun	definite nominative/accusative singular of drum
326	dus	noun	departure
327	ultima	adj	definite nominative/accusative feminine singular of ultim
328	minute	noun	plural of minut
329	dracu	noun	definite nominative/accusative singular of drac
330	dai	verb	second-person singular present indicative/subjunctive of da
331	trebuit	verb	past participle of trebui
332	murit	verb	past participle of muri
333	mie	num	thousand
334	femeie	noun	woman; wife
335	idee	noun	idea
336	tip	noun	guy
337	copil	noun	child
338	gândit	noun	thinking
339	ale	article	of (feminine/neuter plural possessive article)
340	moment	noun	moment (brief length of time)
341	i-a	contraction	îi as dative of el or ea
342	primul	adj	definite nominative/accusative masculine/neuter singular of prim
343	aceea	det	nominative/accusative feminine singular of acela
344	pus	verb	past participle of pune
345	data	verb	to date
346	sper	verb	first-person singular present indicative/subjunctive of spera
347	noastre	adj	feminine plural of nostru; our
348	merg	verb	first-person singular present indicative/subjunctive
349	pic	noun	a drop (of water)
350	s-au	contraction	contraction of se and au
351	buna	adj	definite nominative/accusative feminine singular of bun
352	seama	noun	definite nominative/accusative singular of seamă
353	erau	verb	third-person plural imperfect indicative of fi: they were
354	bune	adj	nominative/accusative feminine/neuter plural of bun
355	lua	verb	to take; synonym of cumpăra (“to buy”)
356	urmă	noun	footprint, track
357	tare	adj	hard, tough, solid
358	griji	verb	to take care
359	problema	noun	definite nominative/accusative singular of problemă
360	cazul	noun	definite nominative/accusative singular of caz
361	vreo	det	nominative/accusative feminine of vreun
362	nu-l	contraction	contraction of nu + îl
363	cauza	verb	to cause
364	între	prep	between
365	ajunge	verb	to overtake, to catch up
366	duci	verb	second-person singular present indicative/subjunctive of duce
367	ce-i	contraction	contraction of ce + îi
368	camera	noun	definite nominative/accusative singular of cameră
369	ajutor	intj	help!
370	mort	adj	dead
371	noaptea	adv	at night
372	vorbim	verb	first-person plural present indicative of vorbi: we speak
373	asta-i	contraction	contraction of asta + e
374	corect	adj	correct (all senses)
375	sta	verb	to stay; to stand
376	întotdeauna	adv	always
377	minunat	adj	wonderful
378	încercat	adj	tried
379	ele	pron	they (for a group composed completely of females)
380	poftim	intj	please!, please?, pardon!, I beg your pardon, pardon me, excuse me, come again
381	ucis	verb	past participle of ucide (“killed”)
382	ore	noun	plural; genitive/dative singular
383	pune	verb	to put; to plant for cultivation
384	vreodată	adv	ever
385	fiul	noun	definite nominative/accusative singular of fiu
386	ciudat	adj	strange, unusual, weird
387	unei	article	of a; to a
388	suna	verb	to ring or produce a sound in general
389	probleme	noun	plural; genitive/dative singular
390	problemă	noun	problem; word problem
391	vorbit	adj	spoken, said
392	adus	adj	brought
393	familia	noun	definite singular nominative/accusative of familie
394	luni	noun	Monday
395	vii	adj	masculine/feminine/neuter plural of viu
396	altă	det	feminine singular of alt
397	cap	noun	head
398	cer	noun	sky; heaven
399	ales	adj	chosen
400	intra	verb	to enter, go in
401	crede	verb	to believe; to guess, to believe, to think
402	cale	noun	avenue; way
403	te-a	contraction	contraction of te + a
404	nicio	det	feminine singular of niciun
405	casă	noun	house, dwelling
406	duce	verb	to carry, lead, take
407	dă-mi	contraction	contraction of dă + îmi
408	bucur	verb	first-person singular present indicative/subjunctive of bucura
409	uitat	noun	forgetting
410	cunosc	verb	first-person singular present indicative/subjunctive
411	acel	det	that
412	încredere	noun	trust, faith; confidence
413	caz	noun	case, circumstance, situation
414	singură	adj	nominative/accusative feminine singular of singur
415	joc	noun	game, play; dance
416	oricum	adv	anyhow, no matter how, in any way, however
417	mergi	verb	second-person singular present indicative/subjunctive
418	altceva	pron	something else
419	primit	verb	past participle of primi
420	asemenea	adv	likewise
421	lume	noun	world; people
422	ochii	noun	definite nominative/accusative plural of ochi
423	acord	noun	accord
424	cinci	num	five
425	fată	noun	girl; daughter
426	veni	verb	to come
427	patru	num	four
428	iei	verb	second-person singular present indicative/subjunctive of lua
429	lăsat	noun	letting, allowing
430	telefon	noun	telephone
431	prins	verb	past participle of prinde
432	fratele	noun	definite nominative/accusative singular of frate
433	simplu	adj	simple
434	salut	intj	hello! greetings!
435	prieten	noun	friend; boyfriend
436	omul	noun	definite nominative/accusative singular of om
437	dragă	noun	dear, sweetie (term of endearment towards a woman)
438	i-ai	contraction	îi as dative of el or ea
439	important	adj	important
440	găsi	verb	to find (locate)
441	lângă	prep	beside, next to, by, near (to), close to, alongside
442	grozav	adj	terrific, great, exceptional, tremendous, scrumptious, awesome, lush, copacetic
443	vina	noun	definite nominative/accusative singular of vină
444	doamnă	noun	lady, polite term for a woman, madam, ma'am
445	câte	adj	feminine plural of cât
446	zici	verb	second-person singular present indicative of zice
447	vorbi	verb	to speak; to talk
448	dolari	noun	plural of dolar
449	acea	det	nominative/accusative feminine singular of acel
450	pasă	noun	pass
451	mod	noun	mode, fashion, style, way
452	ne-a	contraction	contraction of ne + a
453	uh	intj	ugh
454	pun	verb	first-person singular present indicative/subjunctive
455	sunat	noun	called
456	ești	verb	second-person singular present indicative of fi: You are.
457	mâna	verb	to drive, goad, put into action (e.g. an animal, vehicle, etc)
458	rahat	noun	Turkish delight
459	știu	verb	first-person singular present indicative/subjunctive
460	pleci	verb	second-person singular present indicative/subjunctive of pleca
461	plecam	verb	first-person singular/plural imperfect indicative of pleca
462	prieteni	noun	plural of prieten
463	odată	adv	once, one time (at some point in the past)
464	stau	verb	first-person singular present indicative/subjunctive
465	drum	noun	road
466	alte	det	nominative/accusative feminine/neuter plural of alt
467	dvs.	pron	abbreviation of dumneavoastră
468	astfel	adv	thus, in this way, so, like that
469	curând	adj	short
470	ora	noun	definite nominative/accusative singular of oră
471	întors	noun	return, returning, coming back
472	doua	adj	second
473	mi-e	contraction	contraction of mi + e
474	mic	adj	little, small
475	las	verb	first-person singular present indicative/subjunctive
476	alt	det	other, another
477	începe	verb	to begin, to commence
478	nouă	num	nine
479	singura	adj	definite nominative/accusative feminine singular of singur
480	de-a	contraction	contraction of de + a
481	gând	noun	thought, idea; imagination, inspiration
482	treabă	noun	work; business, one's personal affairs
483	trimis	verb	past participle of trimite
484	capul	noun	definite nominative/accusative singular of cap
485	apă	noun	water
486	copilul	noun	definite nominative/accusative singular of copil
487	posibil	adj	possible
488	singurul	adj	definite nominative/accusative masculine/neuter singular of singur
489	alo	intj	hello (when answering the telephone)
490	noroc	noun	luck; good fortune
491	legătură	noun	connection, link, correlation, relationship of cause and effect
492	spate	noun	back (anatomy); back (part, side) of something
493	adevărul	noun	definite nominative/accusative singular of adevăr
494	frumoasă	adj	nominative/accusative feminine singular of frumos
495	aveam	verb	first-person singular/plural imperfect indicative of avea
496	împotriva	prep	against
497	către	prep	to, toward (in the direction of, and arriving at)
498	inima	noun	definite nominative/accusative singular of inimă
499	lăsa	verb	to leave; to let, to allow
500	tăi	pron	masculine plural of tău
501	niciun	det	no, none of, not any
502	rămâne	verb	to remain, be left, stay behind
503	întoarce	verb	to return, come back
504	auzi	verb	to hear (to perceive with the ear)
505	prietenul	noun	definite nominative singular of prieten
506	așa	adv	so (in this or that manner), thus, like that, such
507	nume	noun	name
508	frate	noun	brother; dude
509	bărbat	noun	man (an adult male)
510	chestia	noun	definite nominative/accusative singular of chestie
511	pleca	verb	to leave, depart
512	astăzi	adv	today
513	familie	noun	family
514	taci	verb	second-person singular present indicative/subjunctive
515	întâmpla	verb	to happen, occur
516	spatele	noun	definite nominative/accusative singular/plural of spate
517	domnul	noun	definite nominative/accusative singular of domn
518	copiii	noun	definite nominative/accusative plural of copil
519	mers	verb	past participle of merge
520	politia	noun	definite nominative/accusative singular of politie
521	său	det	his / her
522	vreme	noun	weather; time
523	pace	noun	peace
524	an	noun	year
525	mersi	intj	thanks
526	ajut	verb	first-person singular present indicative/subjunctive of ajuta
527	fiica	noun	definite nominative/accusative singular of fiică
528	le-am	contraction	contraction of le + am
529	deloc	adv	(not) at all
530	motiv	noun	motive; reason, ground
531	dna	noun	Direcția Națională Anticorupție.
532	pui	noun	chicken; chick
533	minte	noun	mind; sense, judgement, wisdom
534	întreb	verb	first-person singular present indicative/subjunctive of întreba
535	oră	noun	hour; class
536	perfect	adj	perfect, flawless
537	uita	verb	to forget; to look (at)
538	mari	adj	nominative/accusative masculine/feminine/neuter plural of mare
539	amândoi	pron	both
540	știi	verb	second-person singular present indicative/subjunctive of ști
541	jack	noun	jack (small national flag)
542	erai	verb	second-person singular imperfect indicative of fi: you were
543	persoană	noun	person; individual
544	mâinile	noun	definite nominative/accusative plural of mână
545	termina	verb	to finish, complete
546	devreme	adv	early; soon, promptly, shortly, before long
547	muncă	noun	work, labour
548	parcă	adv	it’s like, one could say, it’s as if…
549	sora	noun	definite nominative/accusative singular of soră
550	fă	verb	second-person singular imperative of face
551	gândesc	verb	first-person singular present indicative/subjunctive
552	rămas	noun	the result of remaining; remainder, remnant
553	fericit	adj	happy (enjoying peace, comfort, etc; contented, joyous)
554	amintesc	verb	first-person singular present indicative/subjunctive
555	plac	noun	liking
556	sigură	adj	nominative/accusative feminine singular of sigur
557	revedere	noun	seeing again
558	mică	adj	nominative/accusative feminine singular of mic (“small”)
559	fiindcă	conj	because (literally, “being that”)
560	prost	adj	simple, simple-minded
561	urma	verb	to follow (go where someone else goes, not in pursuit)
562	vină	noun	guilt, fault
563	tara	noun	definite nominative/accusative singular of tară
564	nebun	adj	crazy, insane
565	arma	verb	to prepare a weapon for firing
566	buni	adj	nominative/accusative masculine plural of bun
567	aduc	verb	first-person singular present indicative/subjunctive
568	jumătate	noun	half
569	sânge	noun	blood; origin
570	intrat	noun	entered
571	sun	verb	first-person singular present indicative/subjunctive of suna
572	aud	verb	first-person singular present indicative/subjunctive
573	acestea	det	nominative/accusative feminine/neuter plural of acesta
574	moarte	noun	death
575	dvs	pron	abbreviation of dumneavoastră
576	cunoscut	adj	known; well-known, renowned
577	numărul	noun	definite nominative/accusative singular of număr
578	restul	noun	definite nominative/accusative singular of rest
579	găsesc	verb	first-person singular present indicative/subjunctive
580	undeva	adv	somewhere
581	mi-ar	contraction	contraction of îmi + ar
582	faptul	noun	definite nominative/accusative singular of fapt
583	doamna	noun	definite nominative/accusative singular of doamnă
584	cerut	noun	requested, asked for
585	asupra	prep	on; about, regarding
586	pa	intj	bye
587	aduce	verb	to bring
588	zic	verb	first-person singular present indicative/subjunctive
589	drept	adj	right (referring to the direction or side)
590	pana	noun	definite nominative/accusative singular of pană
591	cumva	adv	somehow; by chance, by any chance
592	aflat	verb	past participle of afla
593	ah	intj	ah
594	momentul	noun	definite nominative/accusative singular of moment
595	vadă	verb	third-person singular/plural present subjunctive of vedea
596	jur	noun	surroundings, vicinity
597	fim	verb	first-person plural present subjunctive of fi
598	luăm	verb	first-person plural present indicative/subjunctive of lua
599	ce-ai	contraction	contraction of ce + ai
600	vreun	det	some, any
601	vrem	verb	first-person plural present indicative/subjunctive of vrea
602	ultimul	adj	definite nominative/accusative masculine/neuter singular of ultim
603	moartea	noun	definite nominative singular of moarte
604	echipa	verb	to equip
605	întâi	adj	first
606	care-i	contraction	contraction of care + îi
607	genul	noun	definite nominative/accusative singular of gen
608	foc	noun	fire, blaze
609	dă	verb	inflection of da
610	uneori	adv	sometimes, occasionally
611	altfel	adv	otherwise; differently
612	stat	noun	state, government
613	unele	pron	nominative/accusative plural feminine/neuter of unul
614	arat	verb	past participle of ara
615	acela	det	that
616	înăuntru	adv	inside, within, in
617	deschide	verb	to open; to unlock
618	pur	adj	pure, clean, clear
619	scris	verb	past participle of scrie written
620	abia	adv	hardly, barely (with difficulty)
621	clar	adj	clear, obvious
622	trece	verb	to pass through (enter and then leave a region in space)
623	dea	verb	third-person singular/plural present subjunctive of da
624	schimbat	noun	changed
625	altcineva	pron	someone else
626	prietenii	noun	definite accusative plural of prieten
627	devenit	verb	past participle of deveni
628	ieri	adv	yesterday
629	dori	verb	to want, to wish (to feel a need for)
630	aibă	verb	third-person singular/plural present subjunctive of avea
631	pământ	noun	earth, ground; land
632	cameră	noun	room; chamber
633	amice	noun	plural; genitive/dative singular
634	tuturor	det	genitive/dative plural of tot
635	sex	noun	gender, sex; sex, sexual intercourse
636	afla	verb	to find out, get wind of
637	femei	noun	plural; genitive/dative singular
638	frică	noun	fear
639	sale	pron	genitive/dative feminine singular
640	folosit	adj	used
641	normal	adj	normal
642	liber	adj	free, at liberty
643	într-adevăr	adv	indeed (modal: truly; in fact; actually; really)
644	uit	verb	first-person singular present indicative/subjunctive of uita
645	regula	noun	definite nominative/accusative singular of regulă: the rule
646	lasă	verb	third-person singular/plural present indicative
647	băiat	noun	boy
648	săptămâni	noun	plural; genitive/dative singular
649	l-au	contraction	contraction of îl + au
650	încât	conj	that (to the effect that)
651	multă	det	feminine singular of mult
652	război	noun	war; weaving loom
653	plus	conj	plus, and
654	milioane	noun	plural of milion
655	găsim	verb	first-person plural present indicative/subjunctive of găsi
656	ci	conj	but; so that; on the contrary, opposite
657	ideea	noun	definite nominative/accusative singular of idee
658	biroul	noun	definite nominative/accusative singular of birou
659	închisoare	noun	prison, jail; prison sentence, prison time
660	v-am	contraction	contraction of vă + am
661	pat	noun	bed
662	întâlnit	noun	meeting
663	muri	verb	to die
664	amuzant	adj	funny
665	zice	verb	to say, tell; to call by a name
666	spital	noun	hospital
667	draga	verb	to dredge
668	alea	det	nominative/accusative feminine/neuter plural of ăla: those
669	jurul	noun	definite nominative/accusative singular of jur
670	lovit	noun	hitting
671	spună	verb	third-person singular/plural present subjunctive of spune
672	suficient	adj	sufficient
673	trage	verb	to pull, draw, drag
674	doctor	noun	doctor
675	plăcere	noun	pleasure
676	domnilor	noun	definite dative/genitive plural
677	direct	adj	direct; head-on
678	petrecere	noun	party; feast; celebration
679	oricine	pron	anyone, anybody
680	plăcut	verb	past participle of plăcea
681	felul	noun	definite nominative/accusative singular of fel
682	gura	noun	definite nominative/accusative singular of gură
683	ochi	noun	eye; loop
684	ucide	verb	to murder; to kill
685	munca	noun	definite nominative/accusative singular of muncă
686	traducerea	noun	definite nominative/accusative singular of traducere
687	telefonul	noun	definite nominative/accusative singular of telefon
688	special	adj	special
689	omorât	adj	killed
690	încerca	verb	to try, to attempt
691	dispărut	adj	missing
692	voastră	det	feminine singular of vostru
693	întâlnire	noun	meeting
694	unii	pron	nominative/accusative plural masculine of unul
695	complet	adv	completely
696	dragoste	noun	love
697	zece	num	ten
698	povestea	noun	definite nominative/accusative singular of poveste
699	sincer	adj	sincere
700	dreapta	noun	right (direction; right hand side)
701	scrie	verb	to write
702	opri	verb	to stop the movement of something
703	unu	num	one
704	obicei	noun	habit
705	dumneavoastră	pron	you (singular and plural, polite)
706	viitoare	noun	female equivalent of viitor
707	vechi	adj	old
708	fugi	verb	to run; to flee, run away, escape
709	minut	noun	minute (unit of time)
710	însă	conj	but, yet, however
711	afaceri	noun	plural of afacere
712	plăcea	verb	to please; to be pleasant, pleasing
713	vad	noun	ford
714	mâncare	noun	food
715	ajung	verb	first-person singular present indicative/subjunctive
716	picioare	noun	indefinite nominative/accusative/genitive/dative plural of picior
717	anul	noun	definite nominative/accusative singular of an
718	schimb	noun	change; exchange
719	întrebare	noun	question
720	aer	noun	air
721	atâta	adv	Paragogic form of atât
722	puternic	adj	strong
723	furat	noun	stealing
724	ajutorul	noun	definite nominative/accusative singular of ajutor
725	cafea	noun	coffee; serving of coffee
726	promit	verb	first-person singular present indicative/subjunctive
727	poveste	noun	story, yarn, tale
728	fete	noun	plural of fată
729	gândeam	verb	first-person singular/plural imperfect indicative of gândi
730	deoarece	conj	since, because
